all_values - INFO - 2025-05-14 13:40:00 all: {'teplota_vzduchu': 23, 'prizemni_teplota': 33, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 12.3, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 30.538, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.6, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1009.2, 'globalni_zareni_Wm2': 609.4, 'napeti': 13.9}
all_values - INFO - 2025-05-14 16:10:00 all: {'teplota_vzduchu': 21.5, 'prizemni_teplota': 19.9, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 29.442, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.4, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.6, 'globalni_zareni_Wm2': 132.1, 'napeti': 13.6}
all_values - INFO - 2025-05-14 16:30:00 all: {'teplota_vzduchu': 21.3, 'prizemni_teplota': 19.8, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 30.756, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 120.3, 'napeti': 13.5}
all_values - INFO - 2025-05-14 16:50:00 all: {'teplota_vzduchu': 21.4, 'prizemni_teplota': 20.1, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 29.66, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 129.6, 'napeti': 13.5}
all_values - INFO - 2025-05-14 16:50:00 all: {'teplota_vzduchu': 21.4, 'prizemni_teplota': 20.1, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 29.66, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 129.6, 'napeti': 13.5}
all_values - INFO - 2025-05-14 17:10:00 all: {'teplota_vzduchu': 20.6, 'prizemni_teplota': 18.2, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 31.251, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 3.4, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.2, 'globalni_zareni_Wm2': 77, 'napeti': 13.2}
all_values - INFO - 2025-05-14 17:30:00 all: {'teplota_vzduchu': 19.6, 'prizemni_teplota': 14.9, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 35.065, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 96.1, 'napeti': 13.2}
all_values - INFO - 2025-05-14 17:40:00 all: {'teplota_vzduchu': 19.3, 'prizemni_teplota': 14.3, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 35.332, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.8, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 60.6, 'napeti': 13.2}
all_values - INFO - 2025-05-14 17:40:00 all: {'teplota_vzduchu': 19.3, 'prizemni_teplota': 14.3, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 35.332, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.8, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 60.6, 'napeti': 13.2}
all_values - INFO - 2025-05-14 17:50:00 all: {'teplota_vzduchu': 18.5, 'prizemni_teplota': 12.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 36.482, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.9, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 47, 'napeti': 13.1}
all_values - INFO - 2025-05-14 17:50:00 all: {'teplota_vzduchu': 18.5, 'prizemni_teplota': 12.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 36.482, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.9, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 47, 'napeti': 13.1}
all_values - INFO - 2025-05-14 18:10:00 all: {'teplota_vzduchu': 17, 'prizemni_teplota': 10, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 40.866, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 18.7, 'napeti': 13.1}
all_values - INFO - 2025-05-14 18:40:00 all: {'teplota_vzduchu': 16.4, 'prizemni_teplota': 7.7, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 41.458, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 1.3, 'napeti': 13.1}
