all_values - INFO - 2025-05-20 10:40:00 all: {'teplota_vzduchu': 18.2, 'prizemni_teplota': 25.5, 'teplota_pudy_10cm': 12.7, 'teplota_pudy_20cm': 12.1, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 59.361, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.2, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1015, 'globalni_zareni_Wm2': 336.1, 'napeti': 13.9}
all_values - INFO - 2025-05-20 14:30:00 all: {'teplota_vzduchu': 20.6, 'prizemni_teplota': 29.7, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 52.856, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.5, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.8, 'globalni_zareni_Wm2': 329.7, 'napeti': 13.9}
all_values - INFO - 2025-05-20 14:40:00 all: {'teplota_vzduchu': 21.9, 'prizemni_teplota': 32.9, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 46.239, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.6, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.6, 'globalni_zareni_Wm2': 552.4, 'napeti': 13.9}
all_values - INFO - 2025-05-20 14:50:00 all: {'teplota_vzduchu': 22.6, 'prizemni_teplota': 34.3, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 12.7, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 45.063, 'smer_vetru_stupne_180_jih': 180, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.4, 'globalni_zareni_Wm2': 575.6, 'napeti': 13.9}
all_values - INFO - 2025-05-20 15:10:00 all: {'teplota_vzduchu': 21.5, 'prizemni_teplota': 32, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 48.053, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.8, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.2, 'globalni_zareni_Wm2': 511.1, 'napeti': 13.9}
all_values - INFO - 2025-05-20 15:30:00 all: {'teplota_vzduchu': 21.9, 'prizemni_teplota': 30.8, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 46.507, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.4, 'vlhkost_pudy': 19, 'tlak_vzduchu': 1012.1, 'globalni_zareni_Wm2': 449.1, 'napeti': 13.8}
all_values - INFO - 2025-05-20 15:40:00 all: {'teplota_vzduchu': 21, 'prizemni_teplota': 28.2, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 12.8, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 48.088, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012, 'globalni_zareni_Wm2': 416.4, 'napeti': 13.8}
all_values - INFO - 2025-05-20 15:50:00 all: {'teplota_vzduchu': 20.2, 'prizemni_teplota': 22.1, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 51.154, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.2, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012, 'globalni_zareni_Wm2': 418.9, 'napeti': 13.6}
all_values - INFO - 2025-05-20 16:10:00 all: {'teplota_vzduchu': 18.6, 'prizemni_teplota': 16.9, 'teplota_pudy_10cm': 14.2, 'teplota_pudy_20cm': 12.9, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 57.895, 'smer_vetru_stupne_180_jih': 225, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.1, 'globalni_zareni_Wm2': 98.6, 'napeti': 13.3}
all_values - INFO - 2025-05-20 16:40:00 all: {'teplota_vzduchu': 18, 'prizemni_teplota': 15, 'teplota_pudy_10cm': 14.2, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 58.897, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.2, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.2, 'globalni_zareni_Wm2': 76.4, 'napeti': 13.2}
all_values - INFO - 2025-05-20 16:50:00 all: {'teplota_vzduchu': 18, 'prizemni_teplota': 14.7, 'teplota_pudy_10cm': 14.2, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 60.14, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.2, 'globalni_zareni_Wm2': 80.8, 'napeti': 13.2}
all_values - INFO - 2025-05-20 17:10:00 all: {'teplota_vzduchu': 17.8, 'prizemni_teplota': 14, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.464, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.5, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.4, 'globalni_zareni_Wm2': 157.5, 'napeti': 13.2}
all_values - INFO - 2025-05-20 17:30:00 all: {'teplota_vzduchu': 17.4, 'prizemni_teplota': 13.2, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.776, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 169.3, 'napeti': 13.1}
all_values - INFO - 2025-05-20 17:50:00 all: {'teplota_vzduchu': 16.7, 'prizemni_teplota': 12.3, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 64.066, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 114.9, 'napeti': 13.1}
all_values - INFO - 2025-05-20 18:20:00 all: {'teplota_vzduchu': 15.4, 'prizemni_teplota': 9.6, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 70.7, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.7, 'globalni_zareni_Wm2': 39.1, 'napeti': 13.1}
all_values - INFO - 2025-05-20 18:40:00 all: {'teplota_vzduchu': 14.6, 'prizemni_teplota': 7.9, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 73.654, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.5, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.1, 'globalni_zareni_Wm2': 5.3, 'napeti': 13.1}
all_values - INFO - 2025-05-20 19:20:00 all: {'teplota_vzduchu': 12.3, 'prizemni_teplota': 5.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 84.067, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 19:30:00 all: {'teplota_vzduchu': 12.8, 'prizemni_teplota': 5.3, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 82.841, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
